NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9902.01.75,2846.90.80,Global,0,0.0,,,,,MTB,20
9902.01.76,2846.90.80,Global,0,0.0,,,,,MTB,20
9902.01.77,2850.00.07,Global,0,0.0,,,,,MTB,20
9902.01.78,2850.00.07,Global,0,0.0,,,,,MTB,20
9902.01.79,2850.00.50,Global,0,0.0,,,,,MTB,20
9902.01.80,2853.90.90,Global,0,0.0,,,,,MTB,20
9902.01.81,2903.19.60,Global,0,0.0,,,,,MTB,20
9902.01.82,2903.19.60,Global,0,0.0,,,,,MTB,20
9902.01.83,2903.39.20,Global,0,0.0,,,,,MTB,20
9902.01.84,2903.89.31,Global,0,0.0,,,,,MTB,20
9902.01.85,2903.91.10,Global,0.039,0.039,,,,,MTB,20
9902.01.86,2903.91.20,Global,0,0.0,,,,,MTB,20
9902.01.87,2903.91.30,Global,0.027,0.027,,,,,MTB,20
9902.01.88,2903.99.08,Global,0.043,0.043,,,,,MTB,20
9902.01.89,2903.99.10,Global,0.029,0.029,,,,,MTB,20
9902.01.90,2903.99.20,Global,0,0.0,,,,,MTB,20
9902.01.91,2903.99.80,Global,0,0.0,,,,,MTB,20
9902.01.92,2903.99.80,Global,0,0.0,,,,,MTB,20
9902.01.93,2903.99.80,Global,0,0.0,,,,,MTB,20
9902.01.94,2903.99.80,Global,0.021,0.021,,,,,MTB,20
9902.01.95,2903.99.80,Global,0,0.0,,,,,MTB,20
9902.01.96,2903.99.80,Global,0,0.0,,,,,MTB,20
9902.01.97,2904.10.08,Global,0,0.0,,,,,MTB,20
9902.01.98,2904.10.32,Global,0,0.0,,,,,MTB,20
9902.01.99,2904.10.37,Global,0,0.0,,,,,MTB,20
9902.02.01,2904.10.37,Global,0,0.0,,,,,MTB,20
9902.02.02,2904.10.50,Global,0.008,0.008,,,,,MTB,20
9902.02.03,2904.10.50,Global,0,0.0,,,,,MTB,20
9902.02.04,2904.99.15,Global,0,0.0,,,,,MTB,20
9902.02.05,2904.99.20,Global,0,0.0,,,,,MTB,20
9902.02.06,2904.99.50,Global,0,0.0,,,,,MTB,20
9902.02.07,2904.99.50,Global,0,0.0,,,,,MTB,20
9902.02.08,2904.99.50,Global,0,0.0,,,,,MTB,20
9902.02.09,2905.16.00,Global,0,0.0,,,,,MTB,20
9902.02.10,2905.19.90,Global,0,0.0,,,,,MTB,20
9902.02.11,2905.19.90,Global,0,0.0,,,,,MTB,20
9902.02.12,2905.19.90,Global,0,0.0,,,,,MTB,20
9902.02.13,2905.29.90,Global,0,0.0,,,,,MTB,20
9902.02.14,2905.29.90,Global,0,0.0,,,,,MTB,20
9902.02.15,2905.39.90,Global,0,0.0,,,,,MTB,20
9902.02.16,2905.39.90,Global,0,0.0,,,,,MTB,20
9902.02.17,2906.11.00,Global,0,0.0,,,,,MTB,20
9902.02.19,2907.15.10,Global,0,0.0,,,,,MTB,20
9902.02.20,2907.19.40,Global,0,0.0,,,,,MTB,20
9902.02.21,2907.19.80,Global,0,0.0,,,,,MTB,20
9902.02.22,2907.19.80,Global,0,0.0,,,,,MTB,20
9902.02.23,2907.21.00,Global,0,0.0,,,,,MTB,20
9902.02.24,2907.29.10,Global,0,0.0,,,,,MTB,20
9902.02.25,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.25,2914.69.90,Global,0,0.0,,,,,MTB,20
9902.02.26,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.27,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.28,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.29,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.30,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.31,2907.29.90,Global,0,0.0,,,,,MTB,20
9902.02.32,2908.99.25,Global,0,0.0,,,,,MTB,20
9902.02.33,2908.99.80,Global,0,0.0,,,,,MTB,20
9902.02.34,2909.19.60,Global,0,0.0,,,,,MTB,20
9902.02.35,2909.30.30,Global,0.008,0.008,,,,,MTB,20
